GMTdatetime,K30_1p_CO2ppm
42792.06825,516
42792.11306,510
42792.15786,510
42792.20265,511
42792.24743,513
42792.29221,517
42792.33699,514
42792.38177,516
42792.42655,518
42792.47133,520
42792.5161,514
42792.56088,519
42792.60565,517
42792.65043,491
42792.69521,486
42792.73998,486
42792.78476,482
42792.82954,481
42792.87432,481
42792.9191,484
42792.96389,485
42793.00867,485
42793.05345,484
42793.09823,493
42793.14302,496
42793.1878,508
42793.23258,514
42793.27736,518
42793.32214,521
42793.36692,518
42793.41169,519
42793.45647,517
42793.50124,518
42793.54602,520
42793.59079,520
42793.63557,530
42793.68035,496
42793.72513,506
42793.76991,516
42793.8147,529
42793.85948,558
42793.90427,545
42793.94905,551
42793.99384,551
42794.03862,559
42794.08341,530
42794.12821,522
42794.17299,515
42794.21778,534
42794.26257,529
42794.30736,536
42794.35215,537
42794.39694,553
42794.44174,578
42794.48653,605
42794.53131,611
42794.5761,709
42794.62089,660
42794.66568,696
42794.71047,635
42794.75527,624
42794.80006,625
42794.84485,650
42794.88964,728
42794.93443,833
42794.97922,834
42795.02402,840
42795.06881,859
42795.1136,851
42795.15839,892
42795.20318,862
42795.24797,812
42795.29277,794
42795.33756,836
42795.38235,740
42795.42715,533
42795.47194,520
42795.51672,522
42795.56152,521
42795.60631,517
42795.65109,508
42795.69588,505
42795.74067,505
42795.78546,508
42795.83025,520
42795.87505,521
42795.91983,527
42795.96462,519
42796.00941,519
42796.0542,514
42796.09899,528
42796.14378,534
42796.18856,533
42796.23336,531
42796.27814,536
42796.32292,538
42796.3677,536
42796.41248,536
42796.45725,537
42796.50203,536
42796.54681,540
42796.59157,544
42796.63635,561
42796.68113,524
42796.7259,504
42796.77069,508
42796.81547,529
42796.86025,552
42796.90505,594
42796.94983,599
42796.99462,608
42797.03941,571
42797.0842,530
42797.12898,534
42797.17376,534
42797.21855,538
42797.26333,539
42797.30811,532
42797.35288,536
42797.39766,533
42797.44244,538
42797.48721,535
42797.53199,529
42797.57676,535
42797.62153,537
42797.66631,506
42797.71108,500
42797.75586,498
42797.80064,512
42797.84543,525
42797.89021,543
42797.935,561
42797.97978,563
42798.02457,565
42798.06936,565
42798.11414,531
42798.15894,532
42798.20372,526
42798.24851,520
42798.33807,514
42798.38286,510
42798.42764,517
42798.47242,511
42798.5172,507
42798.56198,512
42798.60676,514
42798.65154,498
42798.69633,504
42798.74111,525
42798.7859,523
42798.83069,541
42798.87547,577
42798.92027,584
42798.96506,585
42799.00985,595
42799.05464,618
42799.09943,661
42799.14422,665
42799.18902,553
42799.2338,530
42799.27859,518
42799.32338,520
42799.36817,513
42799.41295,504
42799.45774,502
42799.50252,502
42799.54731,500
42799.59209,499
42799.63689,501
42799.68168,495
42799.72646,498
42799.77125,496
42799.81604,497
42799.86082,494
42799.90561,502
42799.95039,498
42799.99519,497
42800.03997,497
42800.08476,504
42800.12955,500
42800.17433,507
42800.21912,505
42800.2639,500
42800.30869,498
42800.35347,498
42800.39826,514
42800.44306,513
42800.48785,526
42800.57743,525
42800.62222,548
42800.66701,538
42800.71181,549
42800.7566,535
42800.80139,576
42800.84618,593
42800.89097,617
42800.93576,659
42800.98056,639
42801.02536,633
42801.07015,650
42801.11494,629
42801.15973,632
42801.20453,732
42801.24933,720
42801.29412,511
42801.33891,505
42801.38369,505
42801.42848,510
42801.47328,533
42801.51807,544
42801.56285,540
42801.60764,534
42801.65242,518
42801.69721,513
42801.742,522
42801.78679,527
42801.83159,558
42801.87638,569
42801.92117,606
42801.96596,645
42802.01076,620
42802.05556,555
42802.10035,542
42802.18992,540
42802.23471,539
42802.27949,539
42802.32428,536
42802.36906,534
42802.41384,533
42802.45862,536
42802.5034,535
42802.54818,539
42802.59296,544
42802.63774,555
42802.68252,543
42802.72731,537
42802.77211,567
42802.8169,585
42802.86169,606
42802.90648,602
42802.95127,611
42802.99606,607
42803.04086,602
42803.08566,660
42803.13045,563
42803.17524,555
42803.22003,556
42803.26483,554
42803.30962,551
42803.3544,545
42803.39919,543
42803.44398,539
42803.48877,540
42803.53356,537
42803.54752,543
