date_time_GMT,K30_10p_CO2_ppm
2/25/17 20:00,1290
2/25/17 21:06,1270
2/25/17 22:11,1250
2/25/17 23:16,1230
2/26/17 0:21,1220
2/26/17 1:26,1200
2/26/17 2:32,1180
2/26/17 3:37,1170
2/26/17 4:42,1160
2/26/17 5:48,1150
2/26/17 6:53,1140
2/26/17 7:58,1130
2/26/17 9:03,1120
2/26/17 10:09,1120
2/26/17 11:14,1110
2/26/17 12:19,1110
2/26/17 13:25,1100
2/26/17 14:30,1090
2/26/17 15:35,1090
2/26/17 16:41,1090
2/26/17 17:46,1080
2/26/17 18:51,1080
2/26/17 19:56,1070
2/26/17 21:02,1070
2/26/17 22:07,1070
2/26/17 23:12,1060
2/27/17 0:18,1060
2/27/17 1:23,1050
2/27/17 2:28,1040
2/27/17 3:34,1040
2/27/17 4:39,1040
2/27/17 5:44,1030
2/27/17 6:49,1030
2/27/17 7:55,1030
2/27/17 9:00,1030
2/27/17 10:05,1040
2/27/17 11:10,1040
2/27/17 12:16,1050
2/27/17 13:21,1050
2/27/17 14:27,1060
2/27/17 15:32,1060
2/27/17 16:37,1060
2/27/17 17:42,1060
2/27/17 18:47,1060
2/27/17 19:53,1060
2/27/17 20:58,1060
2/27/17 22:03,1060
2/27/17 23:09,1060
2/28/17 0:14,1060
2/28/17 1:19,1070
2/28/17 2:24,1070
2/28/17 3:29,1080
2/28/17 4:35,1080
2/28/17 5:40,1090
2/28/17 6:45,1090
2/28/17 7:50,1090
2/28/17 8:56,1090
2/28/17 10:01,1100
2/28/17 11:06,1100
2/28/17 12:11,1110
2/28/17 13:17,1110
2/28/17 14:22,1120
2/28/17 15:27,1110
2/28/17 16:32,1120
2/28/17 17:38,1120
2/28/17 18:43,1120
2/28/17 19:48,1120
2/28/17 20:53,1120
2/28/17 21:59,1130
2/28/17 23:04,1140
3/1/17 0:09,1150
3/1/17 1:15,1170
3/1/17 2:20,1190
3/1/17 3:25,1200
3/1/17 4:30,1210
3/1/17 5:35,1230
3/1/17 6:41,1250
3/1/17 7:46,1270
3/1/17 8:51,1300
3/1/17 9:57,1330
3/1/17 11:02,1360
3/1/17 12:07,1380
3/1/17 13:12,1410
3/1/17 14:17,1440
3/1/17 15:23,1480
3/1/17 16:28,1490
3/1/17 17:33,1520
3/1/17 18:38,1530
3/1/17 19:44,1540
3/1/17 20:49,1530
3/1/17 21:54,1510
3/1/17 23:00,1510
3/2/17 0:05,1500
3/2/17 1:10,1490
3/2/17 2:15,1480
3/2/17 3:21,1470
3/2/17 4:26,1450
3/2/17 5:31,1440
3/2/17 6:37,1430
3/2/17 7:42,1420
3/2/17 8:47,1420
3/2/17 9:53,1420
3/2/17 10:58,1430
3/2/17 12:03,1430
3/2/17 13:08,1450
3/2/17 14:14,1460
3/2/17 15:19,1470
3/2/17 16:24,1460
3/2/17 17:29,1460
3/2/17 18:35,1440
3/2/17 19:40,1410
3/2/17 20:45,1380
3/2/17 21:50,1350
3/2/17 22:56,1320
3/3/17 0:01,1290
3/3/17 1:06,1270
3/3/17 2:12,1240
3/3/17 3:17,1220
3/3/17 4:22,1200
3/3/17 5:28,1190
3/3/17 6:33,1170
3/3/17 7:38,1160
3/3/17 8:43,1160
3/3/17 9:49,1160
3/3/17 10:54,1150
3/3/17 11:59,1150
3/3/17 13:05,1160
3/3/17 14:10,1160
3/3/17 15:15,1170
3/3/17 16:20,1170
3/3/17 17:26,1170
