time_elapsed,K30_1p_CO2_ppm
0,657
10.00000045,655
20.00000027,655
31.00000033,655
41.00000015,655
50.99999998,655
115.0000005,752
125.0000003,756
136.0000004,760
146.0000002,764
156,766
166.0000005,770
230.0000003,797
241.0000004,799
251.0000002,802
261,808
271.0000005,813
281.0000003,815
346.0000004,844
356.0000002,847
366.0000001,853
376.0000005,857
386.0000003,859
396.0000002,863
461.0000003,898
471.0000001,904
480.9999999,908
491.0000004,910
501.0000002,916
511,924
576.0000001,980
585.9999999,980
596.0000004,980
606.0000002,987
616,990
626.0000005,996
691,1046
701.0000004,1049
711.0000002,1055
721.0000001,1061
731.0000005,1068
741.9999999,1074
806.0000004,1123
816.0000003,1127
826.0000001,1132
837.0000002,1138
847,1143
857.0000004,1148
1004,1251
1014,1250
1024,1254
1035,1259
1045,1261
1055,1264
1119,1323
1130,1321
1140,1323
1150,1324
1160,1326
1170,1328
1235,1405
1245,1399
1255,1396
1265,1393
1275,1395
1285,1400
1350,1464
1360,1460
1370,1458
1380,1456
1390,1458
1400,1457
1465,1492
1475,1495
1485,1495
1495,1497
1505,1500
1516,1501
1580,1549
1590,1548
1600,1547
1610,1547
1621,1549
1631,1549
1695,1571
1705,1579
1716,1578
1726.000001,1582
1736,1585
1746,1588
1811,1641
1821,1639
1831,1638
1841,1637
1851,1638
1861,1637
1926,1670
1936,1668
1946,1669
1956,1669
1966,1669
1976,1671
2041,1714
2051,1708
2061,1711
2071,1709
2081.000001,1706
2091,1706
2156,1726
2166,1727
2176,1727
2186,1730
2197,1732
2207,1730
2271,1756
2281,1755
2292,1757
2302,1758
2312,1758
2322,1759
2387,1769
2397,1773
2407,1774
2417,1774
2427,1775
2437,1778
2502,1823
2512,1820
2522.000001,1812
2532,1810
2542,1810
2552,1810
2617,1829
2627,1827
2637,1826
2647,1826
2657,1826
2667,1826
2732,1839
2742,1839
2752,1840
2762,1840
2772,1840
2783,1840
2847,1863
2857,1860
2867,1857
2878,1856
2888,1855
2898,1855
2962,1880
2973,1874
2983,1871
2993,1872
3003,1871
3013,1873
3078,1912
3088,1902
3098,1898
3108,1899
3118,1895
3128,1893
3193,1882
3203,1887
3213,1891
3223,1892
3233,1893
3243,1892
3308,1899
3318.000001,1902
3328,1903
3338,1902
3348,1904
3359,1903
3423,1901
3433,1905
3443,1909
3454,1910
3464,1911
3474.000001,1913
3538,1909
3549,1914
3559,1918
3569,1924
3579,1924
3589,1924
3654,1942
3664,1945
3674,1943
3684,1943
3694,1942
3704,1941
3769,1946
3779,1943
3789,1943
3799,1943
3809,1943
3819,1943
3884,1946
3894,1947
3904,1953
3914,1948
3925,1949
3935,1948
3999,1973
4009,1970
4020,1966
4030,1961
4040,1960
4050,1958
4115,1960
4125,1959
4135,1962
4145,1962
4155,1962
4165,1961
4230,1979
4240,1978
4250,1973
4260,1968
4270.000001,1968
4280,1967
4345,1965
4355,1967
4365,1963
4375,1962
4385,1962
4395,1962
4460,1976
4470,1973
4480,1968
4490,1962
4501,1961
4511,1957
4575,1976
4585,1970
4596,1966
4606,1963
4616,1962
4626,1962
4691,1970
4701,1965
4711,1964
4721,1962
4731,1961
4741,1962
4806,1966
4816,1962
4826,1961
4836,1962
4846,1957
4856,1960
4921,1971
4931,1972
4941,1971
4951,1967
4961,1964
4972,1964
5036,1964
5046,1965
5056,1964
5067,1964
5077,1965
5087,1964
5151,1994
5162,1988
5172,1982
5182,1978
5192,1974
5202,1974
5267,1991
5277,1988
5287,1985
5297,1984
5307,1984
5317,1981
5382,1953
5392,1957
5402,1967
5412,1968
5422,1971
5432,1974
5497,1993
5507,1989
5517,1989
5527,1987
5537,1984
5548,1986
5612,1991
5622,1991
5632,1991
5642,1989
5653,1989
5663.000001,1990
5727,2005
5737,1998
5748,1995
5758,1996
5768,1993
5778,1993
5843,1998
5853,1999
5863,1997
5873,1995
5883,1995
5893,1995
5958,2001
5968,1998
5978,1994
5988,1992
5998,1994
6008,1992
6073,2012
6083,2006
6093,2006
6103,2003
6113,2001
6123,2000
6188,1978
6198,1989
6208,1993
6218,1993
6229,1993
6239,1995
6303,1997
6313,1998
6324,2000
6334,2000
6344,2000
6354,1998
6419,2046
6429,2036
6439,2027
6449,2020
6459,2016
6469,2014
6534,1992
6544,1991
6554,1992
6564,1995
6574,1998
6584,1999
6649,1990
6659,1995
6669,1996
6679,1997
6689,1997
6700,1998
6764,2004
6774,2005
6784,2004
6795,2004
6805,2005
6815,2005
