time_elapsed,K30_1p_CO2_ppm
0,585
9.999999823,603
20.00000027,642
30.0000001,694
39.99999992,745
50.00000037,774
114.9999999,900
125.0000003,903
135.0000001,913
144.9999999,921
155.0000004,939
165.9999998,956
230.0000003,1079
240.0000002,1084
251.0000002,1089
261,1098
270.9999999,1107
281.0000003,1117
346.0000004,1209
356.0000002,1213
366.0000001,1220
375.9999999,1227
386.0000003,1236
396.0000002,1247
461.0000003,1330
471.0000001,1331
480.9999999,1336
491.0000004,1339
501.0000002,1347
511,1359
576.0000001,1451
585.9999999,1448
596.0000004,1447
606.9999998,1451
617.0000003,1455
627.0000001,1457
691,1533
702,1531
711.9999998,1532
722.0000003,1533
732.0000001,1537
741.9999999,1539
807.0000001,1581
816.9999999,1582
827.0000003,1589
837.0000002,1596
847,1601
857.0000004,1603
921.9999999,1679
932.0000004,1672
942.0000002,1668
952,1664
963.0000001,1666
972.9999999,1668
1037,1698
1048,1701
1058,1703
1068,1702
1078,1701
1088,1705
1153,1754
1163,1754
1173,1755
1183,1756
1193,1756
1203,1758
1268,1779
1278,1784
1288,1786
1298,1788
1308,1788
1319,1790
1383,1817
1393,1817
1404,1816
1414,1817
1424,1819
1434,1821
1499,1877
1509,1873
1519,1867
1529,1864
1539,1863
1549,1863
1614,1883
1624,1883
1634,1884
1644,1883
1654,1883
1664,1884
1729,1896
1739,1894
1749,1896
1760,1896
1770,1902
1780,1902
1845,1900
1855,1903
1865,1909
1875,1913
1885,1915
1895,1915
1960,1942
1970,1945
1980,1947
1990,1942
2000,1943
2010,1945
2075,1968
2085,1962
2095,1960
2106,1962
2116,1962
2126,1960
2191,1970
2201,1970
2211,1969
2221,1968
2231,1967
2241,1967
2306,1980
2316,1981
2326,1981
2336,1978
2346,1978
2356,1979
2421,1996
2431,1993
2441,1992
2451,1988
2462,1989
2472,1989
2536,1977
2547,1981
2557,1983
2567,1987
2577,1989
2587,1991
2652,1981
2662,1988
2672,1995
2682,1998
2692,1998
2702,1994
2767,1978
2777,1986
2787,1993
2797,1996
2808,2000
2818,2002
2882,2025
2893,2018
2903,2018
2913,2017
2923,2014
2933,2013
2998,2033
3008,2033
3018,2032
3028,2030
3038,2025
3048,2025
3113,1998
