date-time,K30_10p_CO2ppm
7/9/2017 5:59,22020
7/9/2017 6:19,22030
7/9/2017 6:38,21920
7/9/2017 6:57,21900
7/9/2017 7:16,21870
7/9/2017 7:35,21710
7/9/2017 7:55,21670
7/9/2017 8:14,21570
7/9/2017 8:33,21430
7/9/2017 8:53,21130
7/9/2017 9:12,21120
7/9/2017 9:31,21100
7/9/2017 9:51,20980
7/9/2017 10:10,20850
7/9/2017 10:30,20760
7/9/2017 10:49,20570
7/9/2017 11:09,20600
7/9/2017 11:28,20560
7/9/2017 11:48,20420
7/9/2017 12:08,20320
7/9/2017 12:27,20400
7/9/2017 12:47,20400
7/9/2017 13:06,20500
7/9/2017 13:26,20490
7/9/2017 13:46,20430
7/9/2017 14:05,20450
7/9/2017 14:25,20650
7/9/2017 14:44,20830
7/9/2017 15:04,20940
7/9/2017 15:24,21110
7/9/2017 15:43,21330
7/9/2017 16:03,21510
7/9/2017 16:22,21630
7/9/2017 16:42,21650
7/9/2017 17:01,21680
7/9/2017 17:21,21560
7/9/2017 17:40,21570
7/9/2017 18:00,21510
7/9/2017 18:19,21540
7/9/2017 18:39,21590
7/9/2017 18:58,21810
7/9/2017 19:17,21820
7/9/2017 19:37,21930
7/9/2017 19:56,21920
7/9/2017 20:15,22060
7/9/2017 20:35,22050
7/9/2017 20:54,22060
7/9/2017 21:13,21920
7/9/2017 21:32,21630
7/9/2017 21:51,21680
7/9/2017 22:11,21630
7/9/2017 22:30,21720
7/9/2017 22:49,21720
7/9/2017 23:08,21720
7/9/2017 23:27,21720
7/9/2017 23:47,21710
7/10/2017 0:06,21980
7/10/2017 0:25,22080
7/10/2017 0:44,22320
7/10/2017 1:03,22250
7/10/2017 1:23,22000
7/10/2017 1:42,21960
7/10/2017 2:01,22000
7/10/2017 2:20,22060
7/10/2017 2:39,22130
7/10/2017 2:59,22110
7/10/2017 3:18,22050
7/10/2017 3:37,22100
7/10/2017 3:56,21920
7/10/2017 4:15,22630
7/10/2017 4:35,22190
7/10/2017 4:54,22110
7/10/2017 5:13,21960
7/10/2017 5:32,21950
7/10/2017 5:51,21960
7/10/2017 6:10,21810
7/10/2017 6:30,21720
7/10/2017 6:49,21610
7/10/2017 7:08,21470
7/10/2017 7:27,21450
7/10/2017 7:46,21500
7/10/2017 8:06,21370
7/10/2017 8:25,21240
7/10/2017 8:44,21280
7/10/2017 9:04,21350
7/10/2017 9:23,20990
7/10/2017 9:42,21050
7/10/2017 10:02,21100
7/10/2017 10:21,20600
7/10/2017 10:41,20370
7/10/2017 11:00,20280
7/10/2017 11:20,20070
7/10/2017 11:40,20260
7/10/2017 11:59,20380
7/10/2017 12:19,20280
7/10/2017 12:38,20580
7/10/2017 12:58,20730
7/10/2017 13:17,20840
7/10/2017 13:37,20850
7/10/2017 13:57,20700
7/10/2017 14:16,20480
7/10/2017 14:36,20560
7/10/2017 14:55,20580
7/10/2017 15:15,20500
7/10/2017 15:35,20480
7/10/2017 15:54,20880
7/10/2017 16:14,20730
7/10/2017 16:33,20920
7/10/2017 16:53,20980
7/10/2017 17:12,20670
7/10/2017 17:32,20810
7/10/2017 17:51,20840
7/10/2017 18:10,20740
7/10/2017 18:30,20720
7/10/2017 18:49,20790
7/10/2017 19:09,20570
7/10/2017 19:28,20520
7/10/2017 19:47,20540
7/10/2017 20:07,20450
7/10/2017 20:26,20450
7/10/2017 20:45,20470
7/10/2017 21:04,20450
7/10/2017 21:24,20650
7/10/2017 21:43,20480
7/10/2017 22:02,20510
7/10/2017 22:21,20400
7/10/2017 22:41,20390
7/10/2017 23:00,20390
7/10/2017 23:19,20360
7/10/2017 23:38,20170
7/10/2017 23:57,20140
7/11/2017 0:17,20210
7/11/2017 0:36,20330
7/11/2017 0:55,20320
7/11/2017 1:14,20440
7/11/2017 1:33,20580
7/11/2017 1:52,20710
7/11/2017 2:12,20520
7/11/2017 2:31,20640
7/11/2017 2:50,20620
7/11/2017 3:09,20260
7/11/2017 3:28,20310
7/11/2017 3:48,20070
7/11/2017 4:07,20110
7/11/2017 4:26,20130
7/11/2017 4:45,19800
7/11/2017 5:04,19760
7/11/2017 5:23,19660
7/11/2017 5:43,19490
7/11/2017 6:02,19520
7/11/2017 6:21,19300
7/11/2017 6:40,19360
7/11/2017 6:59,19180
7/11/2017 7:19,19210
7/11/2017 7:38,19170
7/11/2017 7:57,19040
7/11/2017 8:16,19000
7/11/2017 8:36,18880
7/11/2017 8:55,18830
7/11/2017 9:14,18940
7/11/2017 9:34,19060
7/11/2017 9:53,18740
7/11/2017 10:13,18860
7/11/2017 10:32,18710
7/11/2017 10:52,18570
7/11/2017 11:11,18630
7/11/2017 11:31,18420
7/11/2017 11:51,18480
7/11/2017 12:10,18570
7/11/2017 12:30,18580
7/11/2017 12:49,18600
7/11/2017 13:09,18540
7/11/2017 13:29,18590
7/11/2017 13:48,18610
7/11/2017 14:08,18500
7/11/2017 14:27,18430
7/11/2017 14:47,18320
7/11/2017 15:07,18250
7/11/2017 15:26,18330
7/11/2017 15:46,18380
7/11/2017 16:05,18300
7/11/2017 16:25,18150
7/11/2017 16:44,18270
7/11/2017 17:04,18420
7/11/2017 17:23,18330
7/11/2017 17:43,18260
7/11/2017 18:02,18340
7/11/2017 18:22,18620
7/11/2017 18:41,18470
7/11/2017 19:01,18700
7/11/2017 19:20,18670
7/11/2017 19:39,18660
7/11/2017 19:59,18640
7/11/2017 20:18,18460
7/11/2017 20:37,18400
7/11/2017 20:56,18390
7/11/2017 21:16,18360
7/11/2017 21:35,18380
7/11/2017 21:54,18430
7/11/2017 22:13,18370
7/11/2017 22:33,18150
7/11/2017 22:52,18090
7/11/2017 23:11,18190
7/11/2017 23:30,18270
7/11/2017 23:50,18220
7/12/2017 0:09,18250
7/12/2017 0:28,18190
7/12/2017 0:47,17910
7/12/2017 1:06,18040
7/12/2017 1:26,18140
7/12/2017 1:45,18220
7/12/2017 2:04,18180
7/12/2017 2:23,18300
7/12/2017 2:42,18080
7/12/2017 3:02,18090
7/12/2017 3:21,18170
7/12/2017 3:40,18040
7/12/2017 3:59,17840
7/12/2017 4:18,17800
7/12/2017 4:38,17730
7/12/2017 4:57,17750
7/12/2017 5:16,17770
7/12/2017 5:35,17650
7/12/2017 5:54,17630
7/12/2017 6:14,17650
7/12/2017 6:33,17600
7/12/2017 6:52,17430
7/12/2017 7:11,17310
7/12/2017 7:30,17250
7/12/2017 7:50,17230
7/12/2017 8:09,17260
7/12/2017 8:28,17240
7/12/2017 8:48,17350
7/12/2017 9:07,17260
7/12/2017 9:26,17110
7/12/2017 9:46,16800
7/12/2017 10:05,16750
7/12/2017 10:25,16480
7/12/2017 10:44,16250
7/12/2017 11:04,16290
7/12/2017 11:23,16160
7/12/2017 11:43,16180
7/12/2017 12:03,16240
7/12/2017 12:22,16240
7/12/2017 12:42,16330
7/12/2017 13:01,16220
7/12/2017 13:21,16160
7/12/2017 13:41,16160
7/12/2017 14:00,16200
7/12/2017 14:20,16330
7/12/2017 14:40,16350
7/12/2017 14:59,16450
7/12/2017 15:19,16320
7/12/2017 15:38,16510
7/12/2017 15:58,16440
7/12/2017 16:17,16480
7/12/2017 16:37,16470
7/12/2017 16:56,16470
7/12/2017 17:16,16550
7/12/2017 17:35,16700
7/12/2017 17:55,16680
7/12/2017 18:14,16800
7/12/2017 18:34,16800
7/12/2017 18:53,16750
7/12/2017 19:13,16730
7/12/2017 19:32,16920
7/12/2017 19:51,17020
7/12/2017 20:11,16940
7/12/2017 20:30,16960
7/12/2017 20:49,16980
7/12/2017 21:08,17100
7/12/2017 21:28,17040
7/12/2017 21:47,16910
7/12/2017 22:06,17010
7/12/2017 22:25,16910
7/12/2017 22:45,16970
7/12/2017 23:04,17180
7/12/2017 23:23,17020
7/12/2017 23:42,17080
7/13/2017 0:02,17010
7/13/2017 0:21,17000
7/13/2017 0:40,17010
7/13/2017 0:59,16860
7/13/2017 1:18,16910
7/13/2017 1:38,17080
7/13/2017 1:57,16980
7/13/2017 2:16,16970
7/13/2017 2:35,17010
7/13/2017 2:54,16920
7/13/2017 3:14,16950
7/13/2017 3:33,16760
7/13/2017 3:52,16670
7/13/2017 4:11,16570
7/13/2017 4:30,16550
7/13/2017 4:50,16450
7/13/2017 5:09,16570
7/13/2017 5:28,16730
7/13/2017 5:47,16590
7/13/2017 6:06,16710
7/13/2017 6:26,15980
7/13/2017 6:45,16760
7/13/2017 7:04,16650
7/13/2017 7:23,16460
7/13/2017 7:43,16640
7/13/2017 8:02,16550
7/13/2017 8:21,16470
7/13/2017 8:40,16370
7/13/2017 9:00,16210
7/13/2017 9:19,16110
7/13/2017 9:39,16030
7/13/2017 9:58,15940
7/13/2017 10:18,15690
7/13/2017 10:39,15320
7/13/2017 10:59,14900
7/13/2017 11:18,14890
7/13/2017 11:38,14610
7/13/2017 11:59,14650
7/13/2017 12:19,14510
7/13/2017 12:42,14040
7/13/2017 13:08,14730
7/13/2017 13:39,14770
7/13/2017 14:03,14840
7/13/2017 14:52,15030
7/13/2017 16:57,14770
7/13/2017 18:15,15030
7/13/2017 20:46,14990
7/13/2017 21:26,14780
7/13/2017 21:59,14830
7/13/2017 22:32,14950
7/13/2017 23:18,16100
7/14/2017 1:25,15420
7/14/2017 2:53,14120
7/14/2017 4:39,14710
7/14/2017 5:33,14390
7/14/2017 5:56,14920
7/14/2017 10:27,11980
7/14/2017 10:54,12250
7/14/2017 11:19,12670
7/15/2017 4:38,12800
7/15/2017 5:09,12220
7/15/2017 5:30,11210
7/15/2017 5:51,9830
7/15/2017 6:10,12670
7/15/2017 6:29,12200
7/15/2017 6:49,11910
7/15/2017 7:08,11130
7/15/2017 7:27,11150
7/15/2017 7:46,10770
7/15/2017 8:05,12020
7/15/2017 8:25,10960
7/15/2017 8:44,10520
7/15/2017 9:04,10120
7/15/2017 9:54,9310
7/15/2017 10:14,8810
7/15/2017 10:35,8830
7/15/2017 10:57,8560
7/15/2017 11:16,8870
7/15/2017 11:36,8540
7/15/2017 11:57,8270
7/15/2017 12:17,8130
7/15/2017 12:36,7980
7/15/2017 12:56,9190
7/15/2017 13:15,9610
7/15/2017 13:35,8400
7/15/2017 13:56,9180
7/15/2017 14:32,8400
7/15/2017 14:53,8800
7/15/2017 15:13,8010
7/15/2017 15:32,8490
7/15/2017 15:52,8100
7/15/2017 16:19,8410
7/15/2017 16:39,7340
7/15/2017 16:58,7900
7/15/2017 17:18,7390
7/15/2017 17:37,8360
7/15/2017 17:57,7600
7/15/2017 18:16,7650
7/15/2017 18:36,8000
7/15/2017 18:55,7710
7/15/2017 19:14,8210
7/15/2017 19:34,7960
7/15/2017 19:53,7960
7/15/2017 20:12,8110
7/15/2017 20:31,9660
7/15/2017 20:51,8310
7/15/2017 21:10,8440
7/15/2017 21:29,8470
7/15/2017 21:48,8390
7/15/2017 22:08,9160
7/15/2017 22:38,9890
7/15/2017 22:58,9310
7/15/2017 23:17,9000
7/15/2017 23:36,9080
7/15/2017 23:55,9190
7/16/2017 0:14,9080
7/16/2017 0:34,8670
7/16/2017 0:53,8690
7/16/2017 1:12,8730
7/16/2017 1:33,9320
7/16/2017 1:54,9810
7/16/2017 2:14,11450
7/16/2017 2:33,11440
7/16/2017 2:52,11660
7/16/2017 3:11,11240
7/16/2017 3:30,11890
7/16/2017 3:50,12360
7/16/2017 4:09,11790
7/16/2017 4:28,11140
7/16/2017 4:47,11960
7/16/2017 5:06,10990
7/16/2017 5:25,11500
7/16/2017 5:45,12100
7/16/2017 6:04,12110
7/16/2017 6:25,12980
7/16/2017 6:44,12100
7/16/2017 7:03,12120
7/16/2017 7:23,11830
7/16/2017 7:42,11870
7/16/2017 8:01,12160
7/16/2017 8:20,12370
7/16/2017 8:40,12460
7/16/2017 8:59,12450
7/16/2017 9:18,11920
7/16/2017 9:38,12180
7/16/2017 9:57,11590
7/16/2017 10:17,11970
7/16/2017 10:36,11790
7/16/2017 10:56,11690
7/16/2017 11:15,11500
7/16/2017 11:35,11380
7/16/2017 11:54,11040
7/16/2017 12:14,10710
7/16/2017 12:33,10710
7/16/2017 12:53,11030
7/16/2017 13:13,10760
7/16/2017 13:32,10840
7/16/2017 13:52,10850
