air to 20cm,,sensor [K-30 10%],,2 to 70cm,,,,70 to 100 cm,,sensor [K-30 10%],,10 to 140cm,,sensor [K-30 10%]
timeelapsed,timeelapsed,CO2,,timeelapsed,minutes,CO2,,timeelapsed,minutes,CO2,,timeelapsed,minutes,CO2
10.00099999,0.166683333,660,,9.999999823,0.166666664,2150,,10.00000045,0.166666674,1990,,10.00099999,0.166683333,2060
20.00099982,0.333349997,650,,20.00099982,0.333349997,2150,,20.00000027,0.333333338,1990,,20.00100045,0.333350007,2060
30.00099964,0.500016661,650,,29.99999947,0.499999991,2150,,30.0000001,0.500000002,1990,,30.00100027,0.500016671,2060
39.99999992,0.666666665,650,,39.99999992,0.666666665,2150,,40.00000055,0.666666676,2010,,39.99999992,0.666666665,2060
49.99999974,0.833333329,650,,49.99999974,0.833333329,2150,,50.00000037,0.83333334,2030,,50.00000037,0.83333334,2060
60.00099974,1.000016662,650,,59.99999957,0.999999993,2150,,60.0000002,1.000000003,2060,,60.00100037,1.000016673,2060
70.00099956,1.166683326,650,,70.00000002,1.166666667,2150,,70.00000002,1.166666667,2080,,70.00000002,1.166666667,2060
79.99999984,1.333333331,660,,79.99999984,1.333333331,2150,,80.00000047,1.333333341,2090,,80.00000047,1.333333341,2060
90.00099984,1.500016664,660,,90.00099984,1.500016664,2150,,90.00000029,1.500000005,2100,,90.00000029,1.500000005,2060
100.0000001,1.666666669,650,,99.99999949,1.666666658,2150,,100.0000001,1.666666669,2100,,100.0000001,1.666666669,2060
110.0010001,1.833350002,640,,109.9999999,1.833333332,2150,,110.0010001,1.833350002,2110,,109.9999999,1.833333332,2060
120.0009999,2.000016666,630,,119.9999998,1.999999996,2150,,120.0000004,2.000000007,2110,,120.0000004,2.000000007,2060
130.0009998,2.166683329,620,,129.9999996,2.16666666,2140,,130.0010004,2.16668334,2110,,130.0010004,2.16668334,2060
140,2.333333334,620,,140,2.333333334,2140,,140,2.333333334,2110,,140.0010002,2.333350003,2060
150.001,2.500016667,640,,149.9999999,2.499999998,2140,,150.0000005,2.500000008,2110,,150.001,2.500016667,2050
159.9999997,2.666666661,1070,,159.9999997,2.666666661,2140,,160.0000003,2.666666672,2110,,160.0000003,2.666666672,2050
170.0009997,2.833349995,1270,,169.9999995,2.833333325,2140,,170.0000001,2.833333336,2110,,170.0010003,2.833350005,2050
180,2.999999999,1390,,180.0009995,3.000016658,2130,,180.0010001,3.000016669,2110,,180.0010001,3.000016669,2050
190.001,3.166683333,1470,,189.9999998,3.166666663,2130,,190.0000004,3.166666673,2110,,190.001,3.166683333,2060
199.9999996,3.333333327,1540,,200.0009998,3.333349996,2130,,200.0000002,3.333333337,2100,,200.0000002,3.333333337,2050
210.0009996,3.50001666,1600,,210.0000001,3.500000001,2130,,210.0000001,3.500000001,2100,,210.0000001,3.500000001,2050
220.001,3.666683334,1630,,219.9999999,3.666666665,2130,,220.001,3.666683334,2100,,220.0000005,3.666666675,2050
230.0009999,3.833349998,1690,,229.9999997,3.833333328,2130,,230.0000003,3.833333339,2100,,230.0010005,3.833350008,2050
240.0009997,4.000016662,1720,,240.0009997,4.000016662,2130,,240.0000002,4.000000003,2100,,240.0010003,4.000016672,2050
250,4.166666666,1750,,250,4.166666666,2130,,250,4.166666666,2100,,250.0010001,4.166683336,2050
259.9999998,4.33333333,1780,,254.2619997,4.237699995,2130,,260.0000004,4.33333334,2090,,260.0000004,4.33333334,2050
269.9999996,4.499999994,1820,,260.001,4.33335,2130,,270.0010004,4.500016674,2090,,270.0010004,4.500016674,2050
280.0000001,4.666666668,1840,,264.261,4.40435,2130,,280.0000001,4.666666668,2090,,280.0000001,4.666666668,2050
290.0010001,4.833350001,1860,,270.0009998,4.500016663,2130,,290.0010001,4.833350001,2090,,290.0010001,4.833350001,2050
300.0009999,5.000016665,1880,,274.2609998,4.571016664,2120,,300.0010005,5.000016675,2090,,300.0009999,5.000016665,2050
309.9999995,5.166666659,1910,,280.0009996,4.666683327,2130,,310.0000002,5.16666667,2090,,310.0000002,5.16666667,2050
320,5.333333333,1930,,284.2619998,4.737699997,2120,,320,5.333333333,2090,,320.0010002,5.333350003,2050
330.001,5.500016666,1930,,294.2609995,4.904349991,2120,,330.0000004,5.500000007,2080,,330.0000004,5.500000007,2050
340.0009998,5.66668333,1950,,304.2609999,5.071016665,2120,,340.0000003,5.666666671,2080,,340.0010004,5.666683341,2050
350.0000001,5.833333335,1960,,314.2609997,5.237683329,2120,,350.0000001,5.833333335,2080,,350.0010003,5.833350004,2050
360.0010001,6.000016668,1970,,324.2609996,5.404349993,2120,,360.0000005,6.000000009,2080,,360.0010001,6.000016668,2050
369.9999997,6.166666662,1980,,334.2619996,5.571033326,2110,,370.0010005,6.166683342,2080,,370.0009999,6.166683332,2050
380.0009997,6.333349996,2000,,344.2609998,5.737683331,2110,,380.0000002,6.333333337,2070,,380.0000002,6.333333337,2040
390.0009996,6.500016659,2010,,354.2609997,5.904349994,2120,,390.0010002,6.50001667,2070,,390.0010002,6.50001667,2040
399.9999998,6.666666664,2020,,364.2619997,6.071033328,2120,,400.001,6.666683333,2070,,400.001,6.666683333,2040
409.9999997,6.833333328,2040,,374.2609999,6.237683332,2120,,410.0000003,6.833333338,2070,,410.0010005,6.833350008,2040
420.0009997,7.000016661,2060,,384.2609998,6.404349996,2120,,420.0000001,7.000000002,2070,,420.0000001,7.000000002,2050
430.0010001,7.166683335,2080,,394.2899995,6.571499992,2110,,430.0010001,7.166683335,2070,,430.0010001,7.166683335,2040
439.9999998,7.333333329,2090,,404.261,6.737683334,2110,,440.0000004,7.33333334,2070,,440.0000004,7.33333334,2040
